tweet_id,airline_sentiment,negativereason,airline,name,text,tweet_created,tweet_location
570207886493782019,negative,Bad Flight,Virgin America,blackjackpro911,Review:  amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,2015-02-24 05:05:28 -0800,"San Mateo, CA & Las Vegas, NV"
570124596180955136,neutral,,Virgin America,TenantsUpstairs,Review:  LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,2015-02-23 23:34:30 -0800,Brooklyn
570114021854212096,negative,Flight Booking Problems,Virgin America,jordanpichler,"Review:  hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",2015-02-23 22:52:29 -0800,
570094701371469825,neutral,,Virgin America,JCervantezzz,Review:  Are the hours of operation for the Club at SFO that are posted online current?,2015-02-23 21:35:43 -0800,"California, San Francisco"
570088404156698625,negative,Customer Service Issue,Virgin America,Cuschoolie1,"Review:  help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",2015-02-23 21:10:41 -0800,Washington DC
570084582780899328,negative,Customer Service Issue,Virgin America,amanduhmccarty,"Review:  awaiting my return phone call, just would prefer to use your online self-service option :(",2015-02-23 20:55:30 -0800,
570076792993611776,positive,,Virgin America,NorthTxHomeTeam,Review:  this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,2015-02-23 20:24:33 -0800,Texas
570051991277342720,neutral,,Virgin America,miaerolinea,Nice RT Review: : Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,2015-02-23 18:46:00 -0800,Worldwide
570051381534396416,positive,,Virgin America,Nicsplace,Review:  Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,2015-02-23 18:43:35 -0800,Central Texas
570045393565691904,positive,,Virgin America,Nicsplace,"Review:  @freddieawards Done and done! Best airline around, hands down!",2015-02-23 18:19:47 -0800,Central Texas
570038941497192448,neutral,,Virgin America,elisha_malulani,Review:  when can I book my flight to Hawaii??,2015-02-23 17:54:09 -0800,i'm creating a monster
570035876845084672,negative,Customer Service Issue,Virgin America,DannyDouglass,Review:  Your chat support is not working on your site: http://t.co/vhp2GtDWPk,2015-02-23 17:41:58 -0800,"San Francisco, CA"
570033593394667521,positive,,Virgin America,jamesferrandini,"Review:  View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",2015-02-23 17:32:54 -0800,
570025482344898560,negative,Flight Booking Problems,Virgin America,will_lenzenjr,"Review:  Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",2015-02-23 17:00:40 -0800,Iowa City
570016304284901379,neutral,,Virgin America,GottAmanda,Review:  plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️,2015-02-23 16:24:11 -0800,Los Angeles
570015408788414464,neutral,,Virgin America,KGervaise,Review:  I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,2015-02-23 16:20:38 -0800,Georgia
570013523650048002,neutral,,Virgin America,papamurat,Review:  are flights leaving Dallas for Seattle on time Feb 24?,2015-02-23 16:13:09 -0800,
570012257549070337,positive,,Virgin America,arieldaie,Review:  I'm #elevategold for a good reason: you rock!!,2015-02-23 16:08:07 -0800,Los Angeles
570011341483843584,neutral,,Virgin America,vacations7,Review:   DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,2015-02-23 16:04:28 -0800,Turks and caicos
570010571707256832,positive,,Virgin America,ChelseaPoe666,Review:  wow this just blew my mind,2015-02-23 16:01:25 -0800,Oakland via Midwest
570010539499393025,neutral,,Virgin America,BobGlavinVO,Review:  @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,2015-02-23 16:01:17 -0800,"New York, NY"
570009713447825408,neutral,,Virgin America,lisaaiko,Review:  @ladygaga @carrieunderwood All were entertaining,2015-02-23 15:58:00 -0800,
570009035455344640,neutral,,Virgin America,grantbrowne,"Review:  Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",2015-02-23 15:55:18 -0800,Worldwide
570006886012973056,positive,,Virgin America,joyabsalon,Review:  @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,2015-02-23 15:46:46 -0800,Northern Virginia
570004391731847169,neutral,,Virgin America,2v,Review:  wish you flew out of Atlanta... Soon?,2015-02-23 15:36:51 -0800,Los Angeles / Atlanta
570001194900426752,neutral,,Virgin America,KSmithFoundHere,Review:  @ladygaga @carrieunderwood Julie Andrews. Hands down.,2015-02-23 15:24:09 -0800,
570000071644872704,neutral,,Virgin America,papamurat,Review:  Will flights be leaving Dallas for LA on February 24th?,2015-02-23 15:19:41 -0800,
569996412286582784,negative,Flight Booking Problems,Virgin America,murphicus,Review:  hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,2015-02-23 15:05:09 -0800,"new york, new york"
569996245462159361,positive,,Virgin America,VinnieFerra,Review:  you know it. Need it on my spotify stat #guiltypleasures,2015-02-23 15:04:29 -0800,"brooklyn, Ny"
569990222609412097,positive,,Virgin America,KevinDemsi,Review:  @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,2015-02-23 14:40:33 -0800,"Bali, Republic of Indonesia"
569990163209850881,neutral,,Virgin America,giffgaffman,Review:  @ladygaga @carrieunderwood - Carrie!,2015-02-23 14:40:19 -0800,"UK, USA. "
569989504431316993,neutral,,Virgin America,HanlonBrothers,Review:  New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,2015-02-23 14:37:42 -0800,"Gold Coast, Australia"
569989321698074624,neutral,,Virgin America,emilybg78,Review:  @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,2015-02-23 14:36:58 -0800,"Stockton, CA"
569989034501500928,negative,Customer Service Issue,Virgin America,rachie1126,Review:  I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,2015-02-23 14:35:50 -0800,"New York, NY"
569987622484848640,neutral,,Virgin America,adawson66,"Review:  @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌",2015-02-23 14:30:13 -0800,
569986782567071744,neutral,,Virgin America,SocialPLC,"Review:  @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",2015-02-23 14:26:53 -0800,"Twin Cities, Minn."
569986348041547778,positive,,Virgin America,jeffreymace01,Review:  @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,2015-02-23 14:25:09 -0800,
569982307634794497,neutral,,Virgin America,1stcrown,Review:  Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,2015-02-23 14:09:06 -0800,USA
569976620158578688,negative,Customer Service Issue,Virgin America,onerockgypsy,Review:  heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,2015-02-23 13:46:30 -0800,next city
569973821396152323,negative,Late Flight,Virgin America,noelduan,"Review:  Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",2015-02-23 13:35:23 -0800,SF ↔ NY
569972508499283968,positive,,Virgin America,Travelzoo,Review:  Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,2015-02-23 13:30:10 -0800,"New York, NY"
569967019958730753,negative,Lost Luggage,Virgin America,gianagon,Review:  everything was fine until you lost my bag,2015-02-23 13:08:21 -0800,New York + Panama
569961866224652288,neutral,,Virgin America,bxchen,Review:  Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,2015-02-23 12:47:52 -0800,"San Francisco, CA"
569949891163615232,neutral,,Virgin America,seimatrun,Review:  I emailed your customer service team. Let me know if you need the tracking number.,2015-02-23 12:00:17 -0800,Los Angeles
569948966873370625,neutral,,Virgin America,jamied7,"Review:  hi I just booked a flight but need to add baggage, how can I do this?",2015-02-23 11:56:37 -0800,"London, England"
569946362126602240,negative,Flight Attendant Complaints,Virgin America,seimatrun,Review:  your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,2015-02-23 11:46:16 -0800,Los Angeles
569942903683813376,positive,,Virgin America,mrmichaellay,"Review:  not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",2015-02-23 11:32:31 -0800,Floridian from Cincinnati
569941957490774016,positive,,Virgin America,TaylorLumsden,Review:  awesome. I flew yall Sat morning. Any way we can correct my bill ?,2015-02-23 11:28:46 -0800,"Dallas, Texas"
569940834994401280,neutral,,Virgin America,campusmoviefest,"Review:  Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",2015-02-23 11:24:18 -0800,USA
569940323746516993,neutral,,Virgin America,TaylorLumsden,Review:  first time flying you all. do you have a different rate/policy for media Bags? Thanks,2015-02-23 11:22:16 -0800,"Dallas, Texas"
569935232033366017,negative,Customer Service Issue,Virgin America,meme_meng,Review:  what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,2015-02-23 11:02:02 -0800,
569934395865493504,neutral,,Virgin America,kyle_romanoff,Review:  what happened to Doom?!,2015-02-23 10:58:43 -0800,
569933816963342337,negative,Customer Service Issue,Virgin America,GunsNDip,Review:  why can't you supp the biz traveler like Review:   and have customer service like Review:  #neverflyvirginforbusiness,2015-02-23 10:56:25 -0800,
569933777931145216,positive,,Virgin America,artisticwritr87,Review:  I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,2015-02-23 10:56:16 -0800,"Seattle, WA"
569933405506310144,negative,Late Flight,Virgin America,arieldaie,Review:  you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,2015-02-23 10:54:47 -0800,Los Angeles
569933360564342784,negative,Can't Tell,Virgin America,GunsNDip,Review:  I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,2015-02-23 10:54:36 -0800,
569929243146088448,negative,Can't Tell,Virgin America,GunsNDip,Review:  it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,2015-02-23 10:38:14 -0800,
569926998824394752,negative,Flight Booking Problems,Virgin America,jsatk,Review:  I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,2015-02-23 10:29:19 -0800,"Lower Pacific Heights, SF, CA"
569923394990419968,neutral,,Virgin America,serenaklal,Review:  Can't bring up my reservation online using Flight Booking Problems code,2015-02-23 10:15:00 -0800,Chicago
569922008588222465,neutral,,Virgin America,openambit1,Review:  Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,2015-02-23 10:09:30 -0800,
569920824905306113,neutral,,Virgin America,cabowine,Review:  I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,2015-02-23 10:04:47 -0800,"Los Cabos,Mexico"
569919041244147712,negative,Can't Tell,Virgin America,MaryAnnTaylorT,Review:  Why is the site down?  When will it be back up?,2015-02-23 09:57:42 -0800,"New York, NY"
569915941192015872,neutral,,Virgin America,RamotControl,"Review:  ""You down with RNP?"" ""Yeah you know me!""",2015-02-23 09:45:23 -0800,
569913339427434496,neutral,,Virgin America,losermelon,"Review:  hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",2015-02-23 09:35:03 -0800,
569911816937033728,negative,Cancelled Flight,Virgin America,AlisonK33774854,Review:  I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,2015-02-23 09:29:00 -0800,
569911674158731264,negative,Late Flight,Virgin America,GunsNDip,"Review:  just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",2015-02-23 09:28:26 -0800,
569911218942517248,neutral,,Virgin America,yazdanagh,Review:  why is flight 345 redirected?,2015-02-23 09:26:37 -0800,
569910981868060673,negative,Customer Service Issue,Virgin America,MerchEngines,"Review:  Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",2015-02-23 09:25:41 -0800,"Los Angeles, CA"
569909224521641984,negative,Customer Service Issue,Virgin America,ColorCartel,Review:  I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,2015-02-23 09:18:42 -0800,"Austin, TX"
569907336485019648,negative,Can't Tell,Virgin America,MustBeSpoken,Review:  - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,2015-02-23 09:11:12 -0800,
569896805611089920,negative,Flight Booking Problems,Virgin America,mattbunk,Review:  What is your phone number. I can't find who to call about a flight reservation.,2015-02-23 08:29:21 -0800,"Sterling Heights, MI"
569894449620369408,negative,Customer Service Issue,Virgin America,louisjenny,Review:  is anyone doing anything there today?  Website is useless and no one is answering the phone.,2015-02-23 08:19:59 -0800,Washington DC
569894407001939968,neutral,,Virgin America,STravelsW,Review:  trying to add my boy Prince to my ressie. SF this Thursday Review:  from LAX http://t.co/GsB2J3c4gM,2015-02-23 08:19:49 -0800,"Manhattan Beach, CA"
569892199690678272,negative,Late Flight,Virgin America,GunsNDip,Review:  why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,2015-02-23 08:11:03 -0800,
569891469210755074,neutral,,Virgin America,joeyrenagade,Review:  check out new music http://t.co/maRcnOCWzn,2015-02-23 08:08:08 -0800,Greater Los Angeles
569891436100874241,negative,Late Flight,Virgin America,mrmichaellay,Review:  how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,2015-02-23 08:08:01 -0800,Floridian from Cincinnati
569887310713479168,negative,Late Flight,Virgin America,GunsNDip,Review:  your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,2015-02-23 07:51:37 -0800,
569887049446076416,positive,,Virgin America,TheDuchessSF,"Review:  - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",2015-02-23 07:50:35 -0800,Online
569884551712886785,negative,Customer Service Issue,Virgin America,BeLeather,Review:  called your service line and was hung up on. This is awesome. #sarcasm,2015-02-23 07:40:39 -0800,
569884407852437504,negative,Flight Booking Problems,Virgin America,BeLeather,Review:  your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,2015-02-23 07:40:05 -0800,
569881548515708928,neutral,,Virgin America,drcaseydrake,Review:  I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,2015-02-23 07:28:43 -0800,"Dallas, TX"
569873669700358144,positive,,Virgin America,flyfromWAS,"Review:  has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",2015-02-23 06:57:25 -0800,"Washington, DC"
569873668131717120,neutral,,Virgin America,flyfromSEA,"Review:  has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare",2015-02-23 06:57:24 -0800,Seattle
569873665640292353,positive,,Virgin America,flyfromNYC,"Review:  has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare",2015-02-23 06:57:24 -0800,"New York City, NY"
569873664612704256,neutral,,Virgin America,flyfromLAX,"Review:  has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",2015-02-23 06:57:24 -0800,"Los Angeles, CA"
569872058613673984,positive,,Virgin America,Silvanabfer,Review:  Have a great week 🌞✈,2015-02-23 06:51:01 -0800,
569861209781989377,positive,,Virgin America,AdamJdubs,Review:  come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,2015-02-23 06:07:54 -0800,Earth
569847920192655361,negative,Late Flight,Virgin America,nicholas_v,"Review:  should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",2015-02-23 05:15:06 -0800,
569814339785338880,positive,,Virgin America,tstashajones,"Review:  is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",2015-02-23 03:01:39 -0800,"Halifax, Nova Scotia, Canada"
569777607371128834,positive,,Virgin America,SkateMamas,Review:  and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,2015-02-23 00:35:42 -0800,"Los Angeles, CA"
569774078233419776,positive,,Virgin America,dngoo,Review:  your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,2015-02-23 00:21:40 -0800,"Near a park, water, or lights"
569770363623575552,positive,,Virgin America,SamBrittenham,"Review:  Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",2015-02-23 00:06:55 -0800,USA
569748316776325120,negative,Customer Service Issue,Virgin America,usagibrian,Review:  Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,2015-02-22 22:39:18 -0800,San Francisco CA
569741221783957504,negative,Flight Booking Problems,Virgin America,usagibrian,"Review:  And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",2015-02-22 22:11:07 -0800,San Francisco CA
569737603617943552,negative,Customer Service Issue,Virgin America,KindofLuke,Review:  I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,2015-02-22 21:56:44 -0800,
569714127792254976,positive,,Virgin America,ptbrodie,Review:  thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,2015-02-22 20:23:27 -0800,San Francisco
569675144353828864,positive,,Virgin America,cheryleng,Review:  you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,2015-02-22 17:48:33 -0800,
569674358135914496,neutral,,Virgin America,HishamSharaby,"Review:  Do you provide complimentary upgrades to first class, if there are available seats?",2015-02-22 17:45:25 -0800,New York
569666477265018881,negative,Customer Service Issue,Virgin America,ChrisFordisHere,Review:  i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,2015-02-22 17:14:06 -0800,NYC
569652497947734017,positive,,Virgin America,JKF1897,Review:  completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,2015-02-22 16:18:33 -0800,
569649116487290880,neutral,,Virgin America,F6x,Review:  How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?,2015-02-22 16:05:07 -0800,"San Francisco, CA"
569643262459269120,neutral,,Virgin America,lawyang588,Review:  is flight 882 Cancelled Flightled and what do I do if it is?,2015-02-22 15:41:51 -0800,
569642845516275712,negative,Customer Service Issue,Virgin America,melokudo,Review:  you are failing your customers because your check in process does not link to TSA pre-check.,2015-02-22 15:40:12 -0800,
569634318349246464,negative,Can't Tell,Virgin America,ChrysiChrysic,Review:  @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry,2015-02-22 15:06:19 -0800,
569633630978310145,neutral,,Virgin America,nikkisixxfan93,Review:  has flight number 276 from SFO to Cabo San Lucas arrived yet?,2015-02-22 15:03:35 -0800,"Sacramento,California"
569633279546036224,negative,Cancelled Flight,Virgin America,ChrysiChrysic,Review:  @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!,2015-02-22 15:02:11 -0800,
569630092273410048,negative,Late Flight,Virgin America,MOCBlogger,Review:  Another delayed flight? #likingyoulessandless,2015-02-22 14:49:31 -0800,San Diego
569627480425766912,negative,Customer Service Issue,Virgin America,tfaz,Review:  I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise,2015-02-22 14:39:09 -0800,"Oakland, California"
569625739231948800,positive,,Virgin America,lisaptv,Review:  you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015,2015-02-22 14:32:14 -0800,
569625609799774208,neutral,,Virgin America,dropapp,"Review: , @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9",2015-02-22 14:31:43 -0800,
569620102389350401,positive,,Virgin America,HollywoodHotMom,Review:  always!!! Xoxo,2015-02-22 14:09:50 -0800,All Over!
569619569372823552,negative,Flight Booking Problems,Virgin America,GoShar2012,Review:  why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,2015-02-22 14:07:43 -0800,"Providence, RI"
569618527948115968,negative,Flight Attendant Complaints,Virgin America,MOCBlogger,Review:  You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame,2015-02-22 14:03:34 -0800,San Diego
569616490380439552,positive,,Virgin America,SkateMamas,Review:  best customer service rep in the world! #irmafromDallas takes the cake!!!,2015-02-22 13:55:28 -0800,"Los Angeles, CA"
569615109363929088,neutral,,Virgin America,FiDiFamilies,Review:  Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃,2015-02-22 13:49:59 -0800,New York City
569614365755899905,negative,Late Flight,Virgin America,jarrydosborne,Review:  please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas,2015-02-22 13:47:02 -0800,New York
569614024578600960,positive,,Virgin America,HollywoodHotMom,Review:  you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,2015-02-22 13:45:41 -0800,All Over!
569609971383586817,negative,Cancelled Flight,Virgin America,mlorenzen,"Review:  I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(",2015-02-22 13:29:34 -0800,"iPhone: 29.741360,-90.131523"
569608328998887424,negative,Flight Booking Problems,Virgin America,Tyler_Starrine,Review:  question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.,2015-02-22 13:23:03 -0800,Los Angeles
569599867716132864,positive,,Virgin America,jessicajaymes,Always have it together!!! You're welcome! RT Review: : @jessicajaymes You're so welcome.,2015-02-22 12:49:25 -0800,"hollywood, california"
569596445680115712,positive,,Virgin America,livingfitly,Review:  #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf,2015-02-22 12:35:49 -0800,"Washington, DC"
569596097540132864,negative,Damaged Luggage,Virgin America,khartline,.Review:  I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.,2015-02-22 12:34:26 -0800,Las Vegas
569594386066984960,negative,Damaged Luggage,Virgin America,khartline,.Review:  does that mean you don't have a policy for destroyed luggage?,2015-02-22 12:27:38 -0800,Las Vegas
569586660909973504,neutral,,Virgin America,MACRoxburgh,Review:  is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?,2015-02-22 11:56:57 -0800,
569580805036453888,positive,,Virgin America,paulnakada,Review:  thank you for checking in. tickets are purchased and customer is happy ;-),2015-02-22 11:33:40 -0800,San Francisco
569575679722786816,neutral,,Virgin America,wildcatdad,Review:  is your website ever coming back online?,2015-02-22 11:13:18 -0800,
569575003248676864,neutral,,Virgin America,RheaThurman1,"Review:   - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?",2015-02-22 11:10:37 -0800,
